ts,humidity
24-09-03 13:00:00,9.8
24-09-03 14:00:00,44.0
24-09-03 15:00:00,61.0
24-09-03 15:20:00,51.5
24-09-03 18:30:00,42.8
24-09-04 13:03:00,42.3
24-09-04 18:28:00,42.3
24-09-05 13:01:00,42.4
24-09-05 16:51:00,42.3
24-09-05 18:08:00,42.3
24-09-06 11:24:00,42.4
24-09-12 19:38:00,42.1
24-09-26 13:05:00,38.2
24-09-27 14:13:00,37.9
24-09-27 18:47:00,37.9
24-09-30 10:55:00,36.9
24-09-30 16:19:00,36.8
24-10-01 09:04:00,36.7
24-10-01 15:26:00,36.6
24-10-01 18:02:00,36.2
24-10-03 9:29:00,35.0
24-10-07 9:00:00,35.1
24-10-08 8:58:00,34.8
24-10-11 15:50:00,34.1
24-10-14 11:53:00,33.6
24-10-15 10:36:00,33.4
24-10-16 12:59:59,33.3
24-10-17 12:59:59,33.2
24-10-18 10:21:00,33.0
24-10-21 9:27:00,32.3
24-10-22 8:10:00,32.1
24-10-23 12:59:59,32.1
24-10-24 12:59:59,31.9
24-10-25 12:59:59,31.7
24-10-29 12:59:59,31.0
24-10-30 12:59:59,30.8
24-10-31 12:59:59,30.6
24-11-01 9:30:00,30.4
24-11-04 10:03:00,29.7
24-11-05 12:59:59,29.5
24-11-06 12:59:59,29.4
24-11-07 12:59:59,29.2
24-11-08 12:59:59,29.0
24-11-11 12:59:59,29.3
24-11-12 12:59:59,28.3
24-11-13 12:59:59,28.1
